time,compression,rejection,clustering,direction,entry_price,mfe,mae,duration,outcome,be_saved,tp2_hit
2025-11-11 06:00:00,False,False,True,SHORT,4129.72,32.5600000000004,16.909999999999854,0,LOSS,False,False
2025-11-11 08:30:00,False,False,True,LONG,4146.28,0.3500000000003638,49.11999999999989,0,LOSS,False,False
2025-11-11 11:00:00,False,False,True,LONG,4143.97,2.6599999999998545,46.8100000000004,3,LOSS,False,False
2025-11-11 13:30:00,False,False,True,SHORT,4136.91,39.75,9.720000000000255,4,LOSS,False,False
2025-11-11 16:00:00,False,False,True,SHORT,4133.25,36.090000000000146,55.19999999999982,0,LOSS,False,False
2025-11-11 18:30:00,False,False,True,LONG,4140.08,71.77999999999975,41.06999999999971,5,LOSS,False,False
2025-11-11 21:00:00,False,False,True,LONG,4118.0,14.050000000000182,1.5,2,WIN,False,True
2025-11-11 23:30:00,False,False,True,LONG,4132.05,13.340000000000146,4.880000000000109,2,WIN,True,False
2025-11-12 03:00:00,False,False,True,SHORT,4125.72,26.710000000000036,86.13999999999942,0,LOSS,False,False
2025-11-12 05:30:00,False,False,True,SHORT,4116.81,17.800000000000182,4.589999999999236,1,WIN,False,True
2025-11-12 08:00:00,False,False,True,LONG,4121.4,108.76000000000022,9.199999999999818,0,LOSS,False,False
2025-11-12 10:30:00,False,False,True,LONG,4133.02,107.56999999999971,14.88000000000011,0,LOSS,False,False
2025-11-12 13:00:00,False,False,True,LONG,4133.6,111.78999999999996,10.470000000000255,3,LOSS,False,False
2025-11-12 15:30:00,False,False,True,LONG,4139.77,105.61999999999989,7.910000000000764,0,LOSS,False,False
2025-11-27 04:00:00,False,False,True,SHORT,4148.74,6.1599999999998545,44.26000000000022,0,LOSS,False,False
2025-11-27 06:30:00,False,False,True,LONG,4154.98,12.210000000000036,2.5299999999997453,7,WIN,True,False
2025-11-27 09:00:00,False,False,True,LONG,4161.08,31.920000000000073,12.600000000000364,7,LOSS,False,False
2025-11-27 11:30:00,False,False,True,LONG,4167.19,15.6200000000008,4.089999999999236,2,WIN,False,True
2025-11-27 14:00:00,False,False,True,SHORT,4152.35,3.0900000000001455,40.649999999999636,2,LOSS,False,False
2025-11-27 16:30:00,False,False,True,LONG,4160.62,50.67000000000007,9.1899999999996,3,LOSS,False,False
2025-11-27 19:00:00,False,False,True,LONG,4161.81,21.0,3.860000000000582,5,WIN,False,True
2025-11-27 21:30:00,False,False,True,SHORT,4154.63,0.7300000000004729,79.10999999999967,1,LOSS,False,False
2025-11-28 01:00:00,False,True,True,LONG,4162.97,19.840000000000146,2.0399999999999636,4,WIN,False,True
2025-11-28 03:30:00,False,False,True,SHORT,4160.93,7.030000000000655,95.42999999999938,0,LOSS,False,False
2025-11-28 06:00:00,False,False,True,SHORT,4182.64,28.74000000000069,73.71999999999935,2,LOSS,False,False
2025-11-28 08:30:00,False,False,True,SHORT,4172.66,18.76000000000022,3.8299999999999272,1,WIN,False,True
2025-11-28 11:00:00,False,False,True,LONG,4188.49,73.8100000000004,5.789999999999964,0,LOSS,False,False
2025-11-28 13:30:00,False,False,True,LONG,4179.91,84.72000000000025,8.090000000000146,0,LOSS,False,False
2025-11-28 16:00:00,False,False,True,LONG,4191.83,8.149999999999636,1.180000000000291,0,WIN,True,False
2025-11-28 18:30:00,False,False,True,LONG,4211.29,53.340000000000146,6.979999999999563,0,LOSS,False,False
2025-11-28 21:00:00,False,False,True,LONG,4226.62,38.01000000000022,20.48999999999978,0,LOSS,False,False
2025-12-01 02:45:00,False,False,True,LONG,4233.74,30.890000000000327,42.63000000000011,0,LOSS,False,False
2025-12-01 05:15:00,False,False,True,SHORT,4219.94,28.829999999999927,44.69000000000051,0,LOSS,False,False
2025-12-01 07:45:00,False,False,True,LONG,4246.87,17.76000000000022,55.76000000000022,2,LOSS,False,False
2025-12-01 10:15:00,False,False,True,LONG,4253.65,8.650000000000546,4.539999999999964,0,WIN,True,False
2025-12-01 12:45:00,False,False,True,LONG,4262.3,2.3299999999999272,81.39000000000033,0,LOSS,False,False
2025-12-01 15:15:00,False,False,True,LONG,4258.48,6.150000000000546,77.56999999999971,1,LOSS,False,False
2025-12-01 17:45:00,False,False,True,SHORT,4219.32,55.88999999999942,11.5600000000004,0,LOSS,False,False
2025-12-01 20:15:00,False,False,True,LONG,4242.21,2.4700000000002547,78.77999999999975,0,LOSS,False,False
2025-12-01 22:45:00,False,False,True,SHORT,4229.37,65.9399999999996,6.6599999999998545,1,LOSS,False,False
2025-12-02 04:00:00,False,False,True,SHORT,4191.11,10.199999999999818,4.770000000000437,0,WIN,True,False
2025-12-02 06:30:00,False,False,True,LONG,4226.13,4.75,62.69999999999982,1,LOSS,False,False
